utc_start	utc_end	exit_code	sanitized_invocation	artifact	sha256
2026-08-24T12:57:50Z	2026-08-24T12:57:51Z	0	sh -c '<REDACTED_COMPLEX_ARG>'	remediation-staging-db-allowlist-readback.json	4fbe9a434d2c1a343cffd866e57ae49ec0fa646033bfd47d73bc176ce9f2484e
2026-08-24T12:57:54Z	2026-08-24T12:57:56Z	0	scripts/staging-task-window-aggregate.sh	remediation-parity-final.txt	6021668f29c78bd61229c854b6f242b0e386c7bbcd5326ac970032b636533f26
2026-08-24T12:58:31Z	2026-08-24T12:58:33Z	0	scripts/staging-task-window-aggregate.sh	remediation-parity-sustained-final.txt	3c5d1e64917bebee6b0220ca1e4a85846b02ec61f935617a7ca678eeccbd5151
2026-08-24T12:58:46Z	2026-08-24T12:58:46Z	0	sh -c '<REDACTED_COMPLEX_ARG>'	remediation-parity-compare.txt	0a845d5a338e4341b8015703b6447e5742ef14a00a4f3832752c20f795296656
2026-08-24T12:59:10Z	2026-08-24T12:59:11Z	0	sh -c '<REDACTED_COMPLEX_ARG>'	remediation-db-allowlist-clear.json	29fe4c3c6391c3ba12d5739d09f78feb6b8fe8eea76b1fe6cbe06848d5c4c111
2026-08-24T12:59:11Z	2026-08-24T12:59:12Z	0	sh -c '<REDACTED_COMPLEX_ARG>'	remediation-db-allowlist-final.json	29fe4c3c6391c3ba12d5739d09f78feb6b8fe8eea76b1fe6cbe06848d5c4c111
2026-08-24T12:59:20Z	2026-08-24T12:59:21Z	0	sh -c '<REDACTED_COMPLEX_ARG>'	remediation-web-hold-service.json	0dccc77bd37ee9a3e86eeb79ae18c45789a148bd327bae007f7034405ebc0050
2026-08-24T12:59:21Z	2026-08-24T12:59:22Z	0	sh -c '<REDACTED_COMPLEX_ARG>'	remediation-web-latest-deploy.json	0046e090b6911004750e760c990b769ce4472ce5d846f81af00ec09e9cacb5ad
2026-08-24T12:59:22Z	2026-08-24T12:59:22Z	0	sh -c '<REDACTED_COMPLEX_ARG>'	remediation-worker-latest-deploy.json	efcd3d2f87d7d28a73788497e9019e4735e0c3893dc38fdbf0fc5df538556dec
2026-08-24T12:59:29Z	2026-08-24T12:59:29Z	0	sh -c '<REDACTED_COMPLEX_ARG>'	remediation-maintenance-disable.json	84e56c09533b5ad24b2b1cc1dd3d126548d8105614f991e8add710a40ff5d1eb
